Year,Month,DON_OPO,CAS_Period,DCD,Total_Donors,Used_Donors,Utilization_Rate,DCU_Rate
2018,1,MAOB,Pre-CAS,0.0,24,3.0,0.125,0.0
2018,1,MAOB,Pre-CAS,1.0,3,1.0,0.3333333333333333,0.0
2018,1,MDPC,Pre-CAS,0.0,14,5.0,0.35714285714285715,0.0
2018,1,MDPC,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,1,MIOP,Pre-CAS,0.0,17,8.0,0.47058823529411764,1.0
2018,1,MIOP,Pre-CAS,1.0,10,1.0,0.1,1.0
2018,1,MNOP,Pre-CAS,0.0,9,6.0,0.6666666666666666,0.0
2018,1,MOMA,Pre-CAS,0.0,13,6.0,0.46153846153846156,1.0
2018,1,MOMA,Pre-CAS,1.0,5,0.0,0.0,1.0
2018,1,MSOP,Pre-CAS,0.0,4,0.0,0.0,1.0
2018,1,MSOP,Pre-CAS,1.0,1,0.0,0.0,1.0
2018,1,MWOB,Pre-CAS,0.0,17,8.0,0.47058823529411764,0.0
2018,1,MWOB,Pre-CAS,1.0,6,0.0,0.0,0.0
2018,1,NCCM,Pre-CAS,0.0,7,2.0,0.2857142857142857,0.0
2018,1,NCCM,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,1,NCNC,Pre-CAS,0.0,8,1.0,0.125,0.0
2018,1,NCNC,Pre-CAS,1.0,7,0.0,0.0,0.0
2018,1,NEOR,Pre-CAS,0.0,4,0.0,0.0,0.0
2018,1,NJTO,Pre-CAS,0.0,11,4.0,0.36363636363636365,0.0
2018,1,NJTO,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,1,NMOP,Pre-CAS,0.0,3,0.0,0.0,0.0
2018,1,NMOP,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,1,NVLV,Pre-CAS,0.0,9,4.0,0.4444444444444444,0.0
2018,1,NVLV,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,1,NYAP,Pre-CAS,0.0,4,0.0,0.0,0.0
2018,1,NYAP,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,1,NYFL,Pre-CAS,0.0,2,0.0,0.0,0.0
2018,1,NYRT,Pre-CAS,0.0,28,3.0,0.10714285714285714,0.0
2018,1,NYRT,Pre-CAS,1.0,8,1.0,0.125,0.0
2018,1,OHLB,Pre-CAS,0.0,11,4.0,0.36363636363636365,0.0
2018,1,OHLB,Pre-CAS,1.0,2,1.0,0.5,0.0
2018,1,OHLC,Pre-CAS,0.0,2,2.0,1.0,0.0
2018,1,OHLC,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,1,OHLP,Pre-CAS,0.0,11,2.0,0.18181818181818182,0.0
2018,1,OHLP,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,1,OHOV,Pre-CAS,0.0,5,0.0,0.0,0.0
2018,1,OKOP,Pre-CAS,0.0,8,1.0,0.125,0.0
2018,1,OKOP,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,1,ORUO,Pre-CAS,0.0,6,0.0,0.0,0.0
2018,1,ORUO,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,1,PADV,Pre-CAS,0.0,40,14.0,0.35,0.0
2018,1,PADV,Pre-CAS,1.0,11,1.0,0.09090909090909091,0.0
2018,1,PATF,Pre-CAS,0.0,9,3.0,0.3333333333333333,1.0
2018,1,PATF,Pre-CAS,1.0,1,0.0,0.0,1.0
2018,1,PRLL,Pre-CAS,0.0,7,1.0,0.14285714285714285,0.0
2018,1,SCOP,Pre-CAS,0.0,12,3.0,0.25,0.0
2018,1,SCOP,Pre-CAS,1.0,4,0.0,0.0,0.0
2018,1,TNDS,Pre-CAS,0.0,23,5.0,0.21739130434782608,0.0
2018,1,TNDS,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,1,TNMS,Pre-CAS,0.0,1,1.0,1.0,0.0
2018,1,TNMS,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,1,TXGC,Pre-CAS,0.0,22,3.0,0.13636363636363635,0.0
2018,1,TXGC,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,1,TXSA,Pre-CAS,0.0,10,3.0,0.3,0.0
2018,1,TXSA,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,1,TXSB,Pre-CAS,0.0,28,4.0,0.14285714285714285,0.0
2018,1,TXSB,Pre-CAS,1.0,6,0.0,0.0,0.0
2018,1,UTOP,Pre-CAS,0.0,9,1.0,0.1111111111111111,0.0
2018,1,UTOP,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,1,VATB,Pre-CAS,0.0,12,4.0,0.3333333333333333,0.0
2018,1,WALC,Pre-CAS,0.0,16,4.0,0.25,0.0
2018,1,WALC,Pre-CAS,1.0,7,0.0,0.0,0.0
2018,1,WIDN,Pre-CAS,0.0,3,1.0,0.3333333333333333,0.0
2018,1,WIDN,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,1,WIUW,Pre-CAS,0.0,6,1.0,0.16666666666666666,0.0
2018,1,WIUW,Pre-CAS,1.0,2,1.0,0.5,0.0
2018,2,ALOB,Pre-CAS,0.0,7,0.0,0.0,1.0
2018,2,ALOB,Pre-CAS,1.0,1,0.0,0.0,1.0
2018,2,AROR,Pre-CAS,0.0,3,1.0,0.3333333333333333,0.0
2018,2,AZOB,Pre-CAS,0.0,14,9.0,0.6428571428571429,0.0
2018,2,AZOB,Pre-CAS,1.0,5,2.0,0.4,0.0
2018,2,CADN,Pre-CAS,0.0,22,3.0,0.13636363636363635,1.0
2018,2,CADN,Pre-CAS,1.0,2,0.0,0.0,1.0
2018,2,CAGS,Pre-CAS,0.0,7,1.0,0.14285714285714285,0.0
2018,2,CAGS,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,2,CAOP,Pre-CAS,0.0,22,5.0,0.22727272727272727,0.0
2018,2,CAOP,Pre-CAS,1.0,8,0.0,0.0,0.0
2018,2,CASD,Pre-CAS,0.0,15,7.0,0.4666666666666667,0.0
2018,2,CORS,Pre-CAS,0.0,8,3.0,0.375,1.0
2018,2,DCTC,Pre-CAS,0.0,10,3.0,0.3,0.0
2018,2,FLFH,Pre-CAS,0.0,11,4.0,0.36363636363636365,0.0
2018,2,FLFH,Pre-CAS,1.0,5,0.0,0.0,0.0
2018,2,FLMP,Pre-CAS,0.0,3,0.0,0.0,0.0
2018,2,FLMP,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,2,FLUF,Pre-CAS,0.0,9,0.0,0.0,0.0
2018,2,FLUF,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,2,FLWC,Pre-CAS,0.0,20,6.0,0.3,0.0
2018,2,FLWC,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,2,GALL,Pre-CAS,0.0,14,2.0,0.14285714285714285,0.0
2018,2,GALL,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,2,HIOP,Pre-CAS,0.0,1,1.0,1.0,0.0
2018,2,IAOP,Pre-CAS,0.0,1,0.0,0.0,0.0
2018,2,IAOP,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,2,ILIP,Pre-CAS,0.0,21,3.0,0.14285714285714285,0.0
2018,2,ILIP,Pre-CAS,1.0,6,0.0,0.0,0.0
2018,2,INOP,Pre-CAS,0.0,11,4.0,0.36363636363636365,0.0
2018,2,KYDA,Pre-CAS,0.0,10,1.0,0.1,0.0
2018,2,LAOP,Pre-CAS,0.0,17,5.0,0.29411764705882354,0.0
2018,2,LAOP,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,2,MAOB,Pre-CAS,0.0,23,5.0,0.21739130434782608,0.0
2018,2,MAOB,Pre-CAS,1.0,10,0.0,0.0,0.0
2018,2,MDPC,Pre-CAS,0.0,15,8.0,0.5333333333333333,0.0
2018,2,MIOP,Pre-CAS,0.0,25,12.0,0.48,1.0
2018,2,MIOP,Pre-CAS,1.0,7,1.0,0.14285714285714285,1.0
2018,2,MNOP,Pre-CAS,0.0,11,3.0,0.2727272727272727,0.0
2018,2,MNOP,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,2,MOMA,Pre-CAS,0.0,13,3.0,0.23076923076923078,1.0
2018,2,MOMA,Pre-CAS,1.0,5,0.0,0.0,1.0
2018,2,MSOP,Pre-CAS,0.0,4,0.0,0.0,1.0
2018,2,MWOB,Pre-CAS,0.0,11,4.0,0.36363636363636365,0.0
2018,2,MWOB,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,2,NCCM,Pre-CAS,0.0,6,1.0,0.16666666666666666,0.0
2018,2,NCNC,Pre-CAS,0.0,8,2.0,0.25,0.0
2018,2,NCNC,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,2,NEOR,Pre-CAS,0.0,3,0.0,0.0,0.0
